,date,geoId,cases_per_100khab,deaths_per_100khab,first_dose_100khab,second_dose_100khab,cmltve_cases,cmltve_deaths,cmltve_first_dose,cmltve_second_dose
49,2020-01-04,LV,2.516151860248732,0.0,0.0,0.0,2.516151860248732,0.0,0.0,0.0
50,2020-01-04,MT,3.692446420659043,0.0,0.0,0.0,3.692446420659043,0.0,0.0,0.0
51,2020-01-04,NL,5.790579221643898,0.769779380655042,0.0,0.0,5.8078130883749814,0.769779380655042,0.0,0.0
52,2020-01-04,NO,3.6888132081869296,0.037260739476635656,0.0,0.0,3.875116905570108,0.037260739476635656,0.0,0.0
53,2020-01-04,PL,0.6401789255310679,0.02634481175024971,0.0,0.0,0.6401789255310679,0.02634481175024971,0.0,0.0
54,2020-01-04,PT,7.847777209375102,0.2622400800162472,0.0,0.0,7.847777209375102,0.2622400800162472,0.0,0.0
55,2020-01-04,RO,1.112327600862504,0.05173616748197693,0.0,0.0,1.112327600862504,0.05173616748197693,0.0,0.0
56,2020-01-04,SE,4.70584179908786,0.5131885089540259,0.0,0.0,4.70584179908786,0.5131885089540259,0.0,0.0
57,2020-01-04,SI,2.6242198313724048,0.09542617568626928,0.0,0.0,2.6242198313724048,0.09542617568626928,0.0,0.0
58,2020-01-04,SK,0.4763760534552563,0.0,0.0,0.0,0.4763760534552563,0.0,0.0,0.0
59,2020-01-04,AT,0.4156806422243453,0.033703835856028,0.0,0.0,6.628421051685505,0.15728456732813068,0.0,0.0
60,2020-01-04,BE,2.0568560131361067,0.8157994313704389,0.0,0.0,15.378687153068276,2.907370313926564,0.0,0.0
61,2020-01-04,BG,0.6761148198326631,0.0431562650957019,0.0,0.0,1.2083754226796533,0.07192710849283648,0.0,0.0
62,2020-01-04,CY,0.7882838497530983,0.0,0.0,0.0,7.319778604850198,0.1126119785361569,0.0,0.0
63,2020-01-04,CZ,0.5236611130847109,0.07480873044067299,0.0,0.0,3.19807322633877,0.14961746088134598,0.0,0.0
64,2020-01-04,DE,1.1050094309969767,0.05771540009559835,0.0,0.0,8.669334056026335,0.5098193675111188,0.0,0.0
65,2020-01-04,DK,0.0,0.0,0.0,0.0,4.8602355960563735,0.3778275021669266,0.0,0.0
66,2020-01-04,EE,0.3762295180650365,0.0,0.0,0.0,6.245409999879606,0.15049180722601463,0.0,0.0
67,2020-01-04,EL,0.19592174885350788,0.0,0.0,0.0,1.1568712789445228,0.009329607088262281,0.0,0.0
68,2020-01-04,ES,1.5274880022472455,0.37183663678494494,0.0,0.0,14.507966959103506,2.262710443162932,0.0,0.0
69,2020-01-04,FI,0.8687323674477294,0.03619718197698873,0.0,0.0,3.6016196067103783,0.10859154593096618,0.0,0.0
