,dateRep,year_week,geoId,cases_per_100khab,deaths_per_100khab,cmltve_cases,cmltve_deaths
0,2020-01-01,2020-00,ES,0.0021127081635508235,0.0,0.0021127081635508235,0.0
1,2020-01-01,2020-00,FI,0.018098590988494364,0.0,0.018098590988494364,0.0
2,2020-01-02,2020-00,CZ,0.0,0.0,0.0,0.0
3,2020-01-02,2020-00,DE,0.001202404168658299,0.0,0.001202404168658299,0.0
4,2020-01-02,2020-00,ES,0.033803330616813176,0.0,0.035916038780364,0.0
5,2020-01-02,2020-00,FI,0.0,0.0,0.018098590988494364,0.0
6,2020-01-02,2020-00,FR,0.0,0.0,0.0,0.0
7,2020-01-02,2020-00,LT,0.0,0.0,0.0,0.0
8,2020-01-03,2020-00,AT,0.04493844780803733,0.0,0.04493844780803733,0.0
9,2020-01-03,2020-00,BE,0.1648956297450887,0.0,0.1648956297450887,0.0
10,2020-01-03,2020-00,CZ,0.02805327391525237,0.0,0.02805327391525237,0.0
11,2020-01-03,2020-00,DE,0.042084145903040465,0.0,0.043286550071698765,0.0
12,2020-01-03,2020-00,DK,0.017173977371223934,0.0,0.017173977371223934,0.0
13,2020-01-03,2020-00,EE,0.0,0.0,0.0,0.0
14,2020-01-03,2020-00,EL,0.018659214176524563,0.0,0.018659214176524563,0.0
15,2020-01-03,2020-00,ES,1.4450923838687633,0.0,1.4810084226491274,0.0
16,2020-01-03,2020-00,FI,0.018098590988494364,0.0,0.03619718197698873,0.0
17,2020-01-03,2020-00,FR,0.06684470531110595,0.0,0.06684470531110595,0.0
18,2020-01-03,2020-00,HR,0.04928335836517243,0.0,0.04928335836517243,0.0
19,2020-01-03,2020-00,IS,0.0,0.0,0.0,0.0
20,2020-01-03,2020-00,IT,0.9490038209643596,0.008383425980250526,0.9490038209643596,0.008383425980250526
21,2020-01-03,2020-00,LI,0.0,0.0,0.0,0.0
22,2020-01-03,2020-00,LT,0.0,0.0,0.0,0.0
23,2020-01-03,2020-00,LU,0.0,0.0,0.0,0.0
24,2020-01-03,2020-00,LV,0.0,0.0,0.0,0.0
25,2020-01-03,2020-00,NL,0.01723386673108303,0.0,0.01723386673108303,0.0
26,2020-01-03,2020-00,NO,0.18630369738317828,0.0,0.18630369738317828,0.0
27,2020-01-03,2020-00,PT,0.0,0.0,0.0,0.0
28,2020-01-03,2020-00,SE,0.0,0.0,0.0,0.0
29,2020-01-04,2020-00,AT,6.167801961653123,0.12358073147210266,6.21274040946116,0.12358073147210266
30,2020-01-04,2020-00,BE,13.156935510187079,2.0915708825561254,13.321831139932168,2.0915708825561254
31,2020-01-04,2020-00,BG,0.5322606028469901,0.028770843397134593,0.5322606028469901,0.028770843397134593
32,2020-01-04,2020-00,CY,6.5314947550971,0.1126119785361569,6.5314947550971,0.1126119785361569
33,2020-01-04,2020-00,CZ,2.6463588393388067,0.07480873044067299,2.6744121132540593,0.07480873044067299
34,2020-01-04,2020-00,DE,7.5210380749576595,0.4521039674155204,7.564324625029358,0.4521039674155204
35,2020-01-04,2020-00,DK,4.84306161868515,0.3778275021669266,4.8602355960563735,0.3778275021669266
36,2020-01-04,2020-00,EE,5.86918048181457,0.15049180722601463,5.86918048181457,0.15049180722601463
37,2020-01-04,2020-00,EL,0.9422903159144904,0.009329607088262281,0.960949530091015,0.009329607088262281
38,2020-01-04,2020-00,ES,11.499470534207132,1.890873806377987,12.98047895685626,1.890873806377987
39,2020-01-04,2020-00,FI,2.6966900572856605,0.07239436395397746,2.732887239262649,0.07239436395397746
40,2020-01-04,2020-00,FR,7.220713611495245,0.7560878889633984,7.287558316806351,0.7560878889633984
41,2020-01-04,2020-00,HR,2.365601201528277,0.0,2.4148845598934496,0.0
42,2020-01-04,2020-00,HU,0.33778506756622584,0.04094364455348192,0.33778506756622584,0.04094364455348192
43,2020-01-04,2020-00,IE,4.270370877682075,0.2820056239978729,4.270370877682075,0.2820056239978729
44,2020-01-04,2020-00,IS,13.45658466388747,0.0,13.45658466388747,0.0
45,2020-01-04,2020-00,IT,8.017908607511604,1.2189501375284264,8.966912428475963,1.2273335635086768
46,2020-01-04,2020-00,LI,10.323379874570936,0.0,10.323379874570936,0.0
47,2020-01-04,2020-00,LT,2.612657430505102,0.0,2.612657430505102,0.0
48,2020-01-04,2020-00,LU,19.006305621394393,0.1597168539612974,19.006305621394393,0.1597168539612974
49,2020-01-04,2020-00,LV,2.516151860248732,0.0,2.516151860248732,0.0
50,2020-01-04,2020-00,MT,3.692446420659043,0.0,3.692446420659043,0.0
51,2020-01-04,2020-00,NL,5.790579221643898,0.769779380655042,5.8078130883749814,0.769779380655042
52,2020-01-04,2020-00,NO,3.6888132081869296,0.037260739476635656,3.875116905570108,0.037260739476635656
53,2020-01-04,2020-00,PL,0.6401789255310679,0.02634481175024971,0.6401789255310679,0.02634481175024971
54,2020-01-04,2020-00,PT,7.847777209375102,0.2622400800162472,7.847777209375102,0.2622400800162472
55,2020-01-04,2020-00,RO,1.112327600862504,0.05173616748197693,1.112327600862504,0.05173616748197693
56,2020-01-04,2020-00,SE,4.70584179908786,0.5131885089540259,4.70584179908786,0.5131885089540259
57,2020-01-04,2020-00,SI,2.6242198313724048,0.09542617568626928,2.6242198313724048,0.09542617568626928
58,2020-01-04,2020-00,SK,0.4763760534552563,0.0,0.4763760534552563,0.0
59,2020-01-05,2020-00,AT,0.4156806422243453,0.033703835856028,6.628421051685505,0.15728456732813068
60,2020-01-05,2020-00,BE,2.0568560131361067,0.8157994313704389,15.378687153068276,2.907370313926564
