YearWeekISO,ReportingCountry,FirstDose,SecondDose,Population
2021-02-01,SI,2682,39966,2095861
2021-02-01,SK,91864,45391,5457873
2021-02-08,AT,57728,177180,8901064
2021-02-08,BE,87063,314189,11522440
2021-02-08,BG,32383,9062,6951482
2021-02-08,CY,13749,9559,888005
2021-02-08,CZ,73636,182633,10693939
2021-02-08,DE,896970,850051,83166711
2021-02-08,DK,96838,69277,5822763
2021-02-08,EE,23546,12484,1328976
2021-02-08,EL,168246,241534,10718565
2021-02-08,ES,531388,849735,47332614
2021-02-08,FI,235848,99924,5525292
2021-02-08,FR,1506798,1577586,67320216
2021-02-08,HR,29751,36269,4058165
2021-02-08,HU,120019,72209,9769526
2021-02-08,IE,81196,11983,4964440
2021-02-08,IS,3740,2224,364134
2021-02-08,IT,880386,424394,59641488
2021-02-08,LI,40,632,38747
2021-02-08,LT,61170,23928,2794090
2021-02-08,LU,6734,3641,626108
2021-02-08,LV,8319,4839,1907675
2021-02-08,MT,13506,12440,514564
2021-02-08,NL,145722,71114,17407585
2021-02-08,NO,125512,63365,5367580
2021-02-08,PL,1129324,895024,37958138
2021-02-08,PT,124426,299729,10295909
2021-02-08,RO,62928,507707,19328838
2021-02-08,SE,133576,210531,10327589
2021-02-08,SI,35212,10445,2095861
2021-02-08,SK,101297,62874,5457873
2021-02-15,AT,127388,79648,8901064
2021-02-15,BE,127687,183681,11522440
2021-02-15,BG,78251,16655,6951482
2021-02-15,CY,19712,9099,888005
2021-02-15,CZ,121871,109863,10693939
2021-02-15,DE,1145107,684878,83166711
2021-02-15,DK,190154,18015,5822763
2021-02-15,EE,34641,11066,1328976
2021-02-15,EL,303669,240148,10718565
2021-02-15,ES,1023132,336029,47332614
2021-02-15,FI,466170,38648,5525292
2021-02-15,FR,1178720,2092984,67320216
2021-02-15,HR,76669,11997,4058165
2021-02-15,HU,205054,234524,9769526
2021-02-15,IE,107553,126173,4964440
2021-02-15,IS,9049,12999,364134
2021-02-15,IT,1414412,124013,59641488
2021-02-15,LI,1066,320,38747
2021-02-15,LT,69777,38811,2794090
2021-02-15,LU,12352,3647,626108
2021-02-15,LV,20412,1408,1907675
2021-02-15,MT,23130,11197,514564
2021-02-15,NL,183146,66662,17407585
2021-02-15,NO,138039,66280,5367580
2021-02-15,PL,1251046,1229432,37958138
2021-02-15,PT,312805,152110,10295909
2021-02-15,RO,244470,311370,19328838
2021-02-15,SE,202651,248369,10327589
2021-02-15,SI,46130,4958,2095861
2021-02-15,SK,79095,65624,5457873
2021-02-22,AT,213830,42858,8901064
2021-02-22,BE,228293,100123,11522440
2021-02-22,BG,167813,25981,6951482
2021-02-22,CY,33025,7630,888005
2021-02-22,CZ,177180,74696,10693939
2021-02-22,DE,1581867,738519,83166711
2021-02-22,DK,263738,23287,5822763
2021-02-22,EE,34902,18334,1328976
2021-02-22,EL,323045,263951,10718565
2021-02-22,ES,1578104,174209,47332614
2021-02-22,FI,563310,49532,5525292
2021-02-22,FR,1690656,1705306,67320216
2021-02-22,HR,124332,5074,4058165
2021-02-22,HU,524562,76905,9769526
2021-02-22,IE,193072,27111,4964440
2021-02-22,IS,9976,4914,364134
2021-02-22,IT,2221194,195630,59641488
2021-02-22,LI,832,618,38747
2021-02-22,LT,130347,16590,2794090
2021-02-22,LU,6934,6236,626108
2021-02-22,LV,35309,636,1907675
2021-02-22,MT,37678,14030,514564
2021-02-22,NL,231441,113181,17407585
2021-02-22,NO,107806,139339,5367580
2021-02-22,PL,1467506,1062036,37958138
2021-02-22,PT,533908,63149,10295909
2021-02-22,RO,234106,86923,19328838
2021-02-22,SE,295004,160938,10327589
2021-02-22,SI,54509,2266,2095861
2021-02-22,SK,76651,76834,5457873
2021-03-01,AT,309442,30464,8901064
2021-03-01,BE,347554,87955,11522440
2021-03-01,BG,128817,28451,6951482
2021-03-01,CY,29880,12394,888005
2021-03-01,CZ,354844,55451,10693939
2021-03-01,DE,2308068,771856,83166711
2021-03-01,DK,268661,40248,5822763
2021-03-01,EE,47967,22137,1328976
2021-03-01,EL,465344,166154,10718565
2021-03-01,ES,1686247,369457,47332614
2021-03-01,FI,661516,19092,5525292
2021-03-01,FR,3903308,1357856,67320216
2021-03-01,HR,108814,9605,4058165
2021-03-01,HU,650513,97355,9769526
2021-03-01,IE,183824,23252,4964440
2021-03-01,IS,19497,113,364134
2021-03-01,IT,2721131,766423,59641488
2021-03-01,LI,1084,88,38747
2021-03-01,LT,138171,39123,2794090
2021-03-01,LU,10782,7105,626108
2021-03-01,LV,38733,2624,1907675
2021-03-01,MT,41407,12190,514564
2021-03-01,NL,209646,84440,17407585
2021-03-01,NO,162258,104847,5367580
2021-03-01,PL,1591632,1000596,37958138
2021-03-01,PT,421918,102209,10295909
2021-03-01,RO,537385,73755,19328838
2021-03-01,SE,446545,109729,10327589
2021-03-01,SI,44957,23561,2095861
2021-03-01,SK,102388,93133,5457873
2021-03-08,AT,456936,61948,8901064
2021-03-08,BE,334659,121398,11522440
