,model,score,mean_absolute_error,mean_squared_error,RMSE
0,LR,0.3211135056393663,4.877154924042398,32.861916074968235,5.732531384560248
1,LR_accum,0.8124428773636956,364844.3605080652,207068188372.10028,455047.4572746235
2,SVR,0.3007458942065796,4.030485509733601,22.6493489024504,4.759133209151683
3,SVR_accum,0.7423989277313796,307218.4103160071,145746991927.58334,381768.2437390299
