,year,week,geoId,cases_per_100khab,cmltve_cases,first_dose_100k,cmltve_first_dose,second_dose_100k,cmltve_second_dose,deaths_per_100khab,cmltve_deaths
0,2020,00,AT,6.628421051685505,12.886099908954701,0.0,0.0,0.0,0.0,0.15728456732813062,0.2808652988002332
1,2020,01,AT,108.60499374007424,242.13959140165713,0.0,0.0,0.0,0.0,1.8087725242735022,3.5051989290269114
2,2020,05,AT,11.976096340841949,847.9323370779043,0.0,0.0,0.0,0.0,0.25839607489621447,15.245368418876666
3,2020,06,AT,109.82956644284323,572.5719981341556,0.0,0.0,0.0,0.0,1.7975379123214932,9.010158785511486
4,2020,08,AT,0.0898768956160745,948.3697679288678,0.0,0.0,0.0,0.0,0.0,16.087964315277365
5,2020,09,AT,7.965339873974617,1452.6465600067588,0.0,0.0,0.0,0.0,0.3145691346562612,25.53627296691721
6,2020,10,AT,131.35508294289312,2327.575669605342,0.0,0.0,0.0,0.0,2.044699375265699,39.163857264704525
7,2020,11,AT,34.53519714047669,2753.996600855807,0.0,0.0,0.0,0.0,0.348272970512289,45.76980909248602
8,2020,12,AT,58.33010525483246,3116.7172823383808,0.0,0.0,0.0,0.0,1.123461195200933,51.20736127725853
9,2020,13,AT,17.06537555510218,2415.5202119656706,0.0,0.0,0.0,0.0,0.6965459410245785,41.73658340171467
10,2020,14,AT,135.09620872291222,3659.84336254632,0.0,0.0,0.0,0.0,2.044699375265698,62.89135770734823
11,2020,15,AT,7.684474575174384,4384.767933361675,0.0,0.0,0.0,0.0,1.3144495983850915,79.51858339632203
12,2020,16,AT,5.021871542548172,4425.437228627948,0.0,0.0,0.0,0.0,0.8425958964006997,86.87725422488818
13,2020,17,AT,2.7300107043382678,3180.417532106274,0.0,0.0,0.0,0.0,0.3258037466082706,64.90235324675791
14,2020,18,AT,18.90785191523171,4504.248031471293,0.0,0.0,0.0,0.0,0.3819768063683172,93.64049061999779
15,2020,19,AT,112.87414628183777,5339.44031859562,0.0,0.0,0.0,0.0,1.9435878676976144,106.35807134967234
16,2020,20,AT,2.954702943378454,5394.444978712657,0.0,0.0,0.0,0.0,0.1460499553761212,108.50388223250613
17,2020,21,AT,2.1907493306418195,5410.84751216259,0.0,0.0,0.0,0.0,0.0449384478080372,109.08808205401061
18,2020,22,AT,5.403848348916488,3887.6026506494045,0.0,0.0,0.0,0.0,0.3932114183203266,79.49611417241803
19,2020,23,AT,132.13027116758175,5983.27346034137,0.0,0.0,0.0,0.0,1.6739571808493905,117.55897946582564
20,2020,24,AT,2.7861837640983147,6391.0449357515,0.0,0.0,0.0,0.0,0.1348153434241117,124.29974663703123
21,2020,25,AT,3.7635950039231267,6412.615390699359,0.0,0.0,0.0,0.0,0.1011115075680837,124.9962925780558
22,2020,26,AT,5.617305976004666,4604.606820038593,0.0,0.0,0.0,0.0,0.35950758246429854,90.2139339746349
23,2020,27,AT,109.11055127791464,6686.526464701299,0.0,0.0,0.0,0.0,2.1458108828337825,130.8944638528607
24,2020,28,AT,8.807935770375318,7265.176387901491,0.0,0.0,0.0,0.0,0.0224692239040186,142.9492024773667
25,2020,29,AT,9.796581622152138,7329.696764341879,0.0,0.0,0.0,0.0,0.0449384478080372,143.1963639403109
26,2020,30,AT,7.459782336134197,5277.6387182476155,0.0,0.0,0.0,0.0,0.044938447808037296,102.54953789794116
27,2020,31,AT,13.099557536042882,7449.165627839545,0.0,0.0,0.0,0.0,0.28086529880023314,145.10624797215246
28,2020,32,AT,116.94107580846516,8153.339870379537,0.0,0.0,0.0,0.0,1.831241748177521,155.43085635604905
29,2020,33,AT,21.49181266419385,8410.511372572986,0.0,0.0,0.0,0.0,0.0224692239040186,158.47543619504359
30,2020,34,AT,21.828851022754133,8560.324922953028,0.0,0.0,0.0,0.0,0.0112346119520093,158.62148615041966
31,2020,35,AT,6.347555752885273,6183.9910374759675,0.0,0.0,0.0,0.0,0.3258037466082705,114.21106510412682
32,2020,36,AT,126.26580372863289,9045.941024578633,0.0,0.0,0.0,0.0,2.134576270881773,166.11497232240987
33,2020,37,AT,58.58850132972867,9799.985709573593,0.0,0.0,0.0,0.0,0.1685191792801399,176.42834609435442
34,2020,38,AT,52.364526308315504,10176.996817459123,0.0,0.0,0.0,0.0,0.2920999107522425,178.12477249910782
35,2020,39,AT,31.041232823401785,7487.835162178362,0.0,0.0,0.0,0.0,0.33703835856027975,128.47902228317858
36,2020,40,AT,105.13349864690335,10689.722037724925,0.0,0.0,0.0,0.0,0.8762997322567279,182.70849417552753
37,2020,41,AT,133.1076824074066,11871.187534434086,0.0,0.0,0.0,0.0,1.7076610167054185,197.32472432509172
38,2020,42,AT,205.6046333337228,12978.909038290252,0.0,0.0,0.0,0.0,1.1459304191049517,203.93067615287322
39,2020,43,AT,305.3118144078056,12689.48296518259,0.0,0.0,0.0,0.0,2.2918608382099035,185.13517035716166
40,2020,44,AT,7.605832291510317,13561.637125629028,0.0,0.0,0.0,0.0,0.2583960748962144,192.75223726062393
41,2020,45,AT,342.66689914823667,17019.066484635998,0.0,0.0,0.0,0.0,5.201625333780321,241.7463799833366
42,2020,46,AT,457.18129877506783,20247.05136374708,0.0,0.0,0.0,0.0,7.5833630676062995,291.8190454534422
43,2020,47,AT,349.6772970062905,22974.523045784183,0.0,0.0,0.0,0.0,8.279909008630879,347.81235142225665
44,2020,48,AT,41.096210520450136,17263.812506010516,0.0,0.0,0.0,0.0,1.426795717905185,273.1358857772508
45,2020,49,AT,170.7548670585898,24635.75141129195,0.0,0.0,0.0,0.0,2.8985298836184077,388.931031166611
